,B cells naive,B cells memory,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Neutrophils
0,TBXA2R,BANK1,CD248,HMHA1,RPL10L,SAE1,ZNF480,ARIH2,ADAMTS1,AGFG1,AGPS,IRF1,H2AFY,ATP1B1,STK4,SORL1
1,KLHL20,BLK,CD8A,CD48,CYB561,PSMD14,C20orf29,ATG12,APOBEC3G,AP1S2,EFR3A,SLC31A2,MS4A6A,BLCAP,UGCG,SLPI
2,CR2,C21orf7,CD8B,EEF2,KIF5C,PRMT5,PLA2G1B,ATP2B4,ARPC5L,AZI2,BCAT1,IL15RA,MAN2B1,CD1B,CHMP5,LMBRD1
3,BEND5,COL4A3,CRTAM,TMSB10,NEK9,NUDT21,BFSP1,AUTS2,BPGM,CD1D,ABHD2,IL10RA,AKAP11,CDC37,DNAJB4,OAZ2
4,DBNDD1,DAAM1,CYorf15B,BTG1,MFNG,MCM6,KRT18P50,BTN3A1,CCND2,CD300C,CHI3L1,STOM,HRH1,CEBPA,MREG,KRT23
5,RIC3,GTF2I,CYP2C19,CNBP,MYL12B,ATAD2,MYH1,BTN3A2,CDK6,CD93,PPARD,TAP1,NPL,CH25H,NET1,TSEN34
6,PTPRK,HLA-DRA,DCAF10,TPT1,NR1D2,CLDND1,KRT5,CBLB,FAM20B,DOK3,PAPSS1,MT1M,CTSC,COMMD10,TUBB6,CD53
7,VAV3,IL7,LSR,COX4I1,FUT7,NUSAP1,CDH12,CD247,FEZ1,DPYD,TEX2,C1S,QSOX1,DHRS11,TOMM34,CTBS
8,CD200,JAM3,PRR5,HNRNPA1,RCAN3,IL3,RAB3A,CHST12,GZMA,DUSP6,CRABP2,ADAMDEC1,MPP1,GCLC,POLDIP3,MBOAT7
9,DAZL,MBD4,SCAP,PFDN5,EPB41,RPA3,GIMAP4,CLASP1,HMGXB4,EVI5,SCG5,MT1F,MMD,GPX3,NXT2,C19orf22
10,SPPL2B,MLLT10,SETD1A,RPL22,D4S234E,CEP55,SYNGR1,CLIC3,LRP8,FCN1,SDHB,CXCL11,GAS6,GSTM4,INSM1,GCA
11,ZNF318,OSBPL10,SF3A2,EEF1D,GDPD5,KPNA2,CACNA1D,CNNM3,MCMBP,IRAK3,MAPK13,IRF8,FOLR2,ISYNA1,C10orf10,LILRB3
12,TRMT2B,SCRN1,SUPT3H,RPS4Y1,NDRG3,ANP32E,RAB22A,CRY2,MIS12,KIAA1033,MARCO,PLSCR1,PLD3,KCNK13,CHST7,ITM2B
13,LOC100127972,SP140,TH1L,RPL13,CD6,MELK,MICAL2,DYNC1LI2,PIM1,KLF4,NPC1,CNDP2,TPP1,KIAA0100,ARHGAP22,LITAF
14,CNN3,TCF4,TMC6,SATB1,GABPA,PSMB3,RUNDC3B,EIF2C3,TNFSF11,MAP2K1,HBEGF,MT2A,CLEC4A,MUDENG,KEAP1,ARPC2
