Input Sample,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,P-value,Pearson Correlation,RMSE
17-002,0.04816932201998275,0.053030913390704065,0,0.2407130924524724,0,0,0.04592054746204796,0,0.019382524669099687,0,0.11046753638480465,0.01774364714989571,0.32681597410763386,0,0,0.036804326882395315,0,0.016998667174350796,0.08395344830661279,0,0,0,0,0.33175893798490946,0.9534537915153122
17-006,0.06006925682866293,0,0,0.36293331589219596,0,0.10694200125830566,0.02938540837648896,0.02378876905241167,0.11440748241780763,0,0,0.042619029046426116,0.16262124162565625,0,0.0018500184427213853,0.027989426862676046,0,0.01318369268520645,0.05067002966866925,0,0,0.0035403278427716873,0,0.29156193033904954,0.9831090679361238
17-019,0.11144261123363229,0.027044643672617552,0,0.21823614250379672,0.019699675063855473,0.07324436135598518,0,0,0.002763976277229746,0.01029441901249336,0.2557355966510648,0.033906793192245155,0.2425326390191261,0,0,0.004458755254085879,0,0.0005,0,0.0002,0,0,0,0.5062588192230632,0.8661630816742777
17-023,0.06635444098346183,0.04574142644546676,0,0.06118161561915472,0,0.29800952781438206,0,0.013153478292972684,0.022008163545438397,0,0.02369187966791783,0.043758054437663306,0.32754651042866323,0,0,0.028124384899901527,0,0.01590897624389609,0.05452154162108164,0,0,0,0,0.2870018583543398,0.9741012913947124
17-026,0.03519662796951943,0.045274892000616476,0,0.25964027404155804,0,0.05466226190021429,0.014607549432259757,0.012983825459660862,0.0316365969105757,0,0.020423241913258557,0.018905858299581767,0.39808036165094396,0,0,0.039961880448280016,0,0.021034756691162212,0.04759187328236895,0,0,0,0,0.2665367473835376,0.988227078311006
17-027,0.06600918714397616,0.019283032030735683,0,0.22998226030198263,0.08136986949987714,0,0.007956879789220665,0,0.025871002936494924,0.0577053095240599,0.01950242924361358,0.05657627272434064,0.273836456528186,0,0,0.045179715421156286,0,0.013929019457244512,0.10279856539911196,0,0,0,0,0.32765550404477245,0.9558913913045288
17-030,0.02414932683390912,0.04415866261274616,0,0.17808342525623927,0,0.07140950978651209,0.008107345323502211,0.012455629956113769,0.023536300581894442,0.06860134012247628,0.05247488634236493,0.08608149829602522,0.27400022825915243,0.0033616631217478366,0,0.04437193948173355,0,0.010956572119441791,0.09825167190614091,0,0,0,0,0.4488246971921239,0.8942485642327294
17-034,0.0686201257900911,0,0,0.13847230027572643,0.06937580131087626,0.11907980182196835,0.035613734343894955,0,0,0,0.0551497136006642,0.06347434644805172,0.32006425553000095,0,0,0.043044382811016135,0,0.013246560396413096,0.07385897767129677,0,0,0,0,0.34850928473243864,0.9448386446852691
17-040,0.14163038044509263,0,0,0.11993285988106367,0.00559462002039595,0,0.09433182666129376,0.027394070969509222,0.028954971711867904,0.013510234798898893,0.030517354118378127,0.06848676592977572,0.28807264776911373,0.0066927645755188595,0,0.03547634830099466,0,0.016463369202840906,0.12294178561525598,0,0,0,0,0.2959889227080795,0.9653434838228565
17-041,0.04579537105980642,0,0,0.1488553825685957,0.19769637566442508,0.05144794000389974,0.08442532400709125,0,0.01894172428819666,0.004130511053880817,0.048908169170466496,0.08773312198908054,0.1650954213034263,0.003400224850404412,0,0.04365818429387101,0,0.01020556480044298,0.08970668494641258,0,0,0,0,0.304431944929865,0.9689877179314871
