Mixture,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,P-value,Correlation,RMSE
17-002,0.104213026520804,0.000445277201267883,0.0892960425396358,0.103782879526207,0,0.0600213917864657,0.0098391785939962,0.00593535174983137,0.0488501983250602,0,0.0892762452997072,0.0582934945793718,0.223093720272169,0.0283103643440929,0.0189193580128467,0,0,0.0572276740617999,0,0.000527537661530835,0.089254845029923,0.0127134144952899,0,0.735725128775282,0.701935475608986
17-006,0.0994811153141077,0,0.0285126024505673,0.106554524493281,0,0.195671955854542,0,0.0130380530398483,0.0864103291002592,0,0.00500888001466878,0.0726478454974431,0.143006781312212,0.0383723545037863,0.0391912572711932,0,0,0.055584418418639,0.00773102668760344,0,0.0865620340874383,0.0222268219544099,0,0.660558454935935,0.757320503569961
17-019,0.105660895814947,0.059383251624785,0.0352102445170186,0.0501250588619594,0.00168050159881069,0.103879054849599,0.0188824984453401,0,0.0161980275487843,0.0291286268498342,0.176047868683703,0.120607351221667,0.197757579441417,0,0.0102531854747364,0.0282922385667706,0.00416797705066768,0.0121466554388328,0,0.0264152479357076,0.00416373607541971,0,0,0.756119178578898,0.67472884830052
17-023,0.0447676189001329,0.0514911260405997,0.0178315246759023,0.0381880920092368,0,0.0854909864767479,0,0.0197280718637694,0.0908060342506883,0,0.0124057855349186,0.0728408846230802,0.276243568557806,0.0523397549166563,0.016297961946068,0,0,0.0580095971445193,0.0025646544531223,0.00492768251640245,0.145122871385169,0.0109437847051811,0,0.697574360379561,0.721991794474162
17-026,0.0207493756817062,0.0960284108320152,0.0600423008875933,0.100543947416339,0,0.0650182149107608,0.010167771438168,0.0174394288336682,0.0449630392226255,0,0.00507950019494308,0.0553028097496423,0.249020872379928,0.0481710817638252,0.0399150797836227,0,0,0.053752653409805,0,0.015122312392285,0.118683201103073,0,0,0.674417941747297,0.746174955172319
17-027,0.0518538407313921,0.0761937710713587,0.0754491783994975,0.12313990282739,0,0.0982865219190068,0.00117650981993928,0.0215210468789196,0.0652601521142,0,0.0748424670984038,0.0353621495508101,0.206908880671568,0,0.0305807337595302,0,0.0147504638413339,0.00848265620075191,0.00877109122928313,0,0.107420633886614,0,0,0.754754898765471,0.68160170748405
17-030,0.00255323572585153,0.0983620725114502,0.00962559337906269,0.0888651741095254,0,0.0881547157353394,0.00323013095563713,0.0101489144573843,0.0341868569490786,0.0685871626848469,0.081341436371305,0.0828728921596764,0.301897200297843,0.0294042267699998,0,0,0,0.0379438923047842,0.00353714804961352,0,0.0592893475386019,0,0,0.796702488122197,0.630395442569206
17-034,0.0341558039572968,0.0733813638872782,0.0304133505595853,0.0336870784392648,0.0099723935031679,0.0925892662152717,0,0.0103757752816315,0.0432383077859084,0.0136006071338906,0.0827748941272742,0.0615056638349604,0.31359003716848,0.00842418715651812,0.0112695018050096,0.00204335218047614,0.0306647362914421,0.0344419073958546,0,0,0.11387177327669,0,0,0.778163622512988,0.64871275561364
17-040,0.106655603750595,0.00845697162580033,0.0793299782159629,0.0407241195919164,0,0.133042249435019,0,0.0156046561030833,0.0409981061391046,0,0.0521013065331767,0.0804375336587971,0.237507361311862,0.0145604779147697,0.0361661277325705,0.0102136433235214,0,0.0241608877361552,0,0.0151078154419533,0.104933161485713,0,0,0.741434543689125,0.693694641606059
17-041,0.0112788243480428,0.104864443338697,0.0430873933166209,0.0408107990161575,0.00456018092480853,0.144802272862893,0,0.00412189952279192,0.078764986553077,0,0.0719451991851722,0.114068750069549,0.133600743199207,0.0186538861164993,0.0437523395819938,0,0.0293869906684047,0.00865399920590855,0,0.0489787232398654,0.0986685688503111,0,0,0.710954824144928,0.719737442042329
17-042,0,0.00870255702086223,0.0260047611299817,0.0346712740910035,0,0.0413644136631447,0,0.0174925147066909,0.0328989616701854,0.0191409199220518,0.0741063793971402,0.0706124399994864,0.367900713981249,0.0661438948949783,0.0224711013463444,0.0131158553932226,0.0497387473628295,0.0173011290215153,0,0.0169901463355175,0.121344190063797,0,0,0.699758319560575,0.715963587264858
17-043,0.0194769980247059,0.0840640468986371,0.0224473792950384,0.0559314615150564,0.0278257074644463,0.128192918630779,0.00365482744706915,0,0.0246167752882901,0.0720682905938006,0.0738478123126975,0.0694112842868867,0.157545791951482,0.0391662999517589,0.01869388376229,0.0145195171121069,0.0136369133936668,0.016122865678161,0,0.0266012364359997,0.12794472839908,0.00423126155804831,0,0.728260638169695,0.696178107075232
17-045,0.0499214965675692,0.130706472608292,0.0352612159159321,0.078262842317655,0.00592098075761171,0.165838716364031,0.0062099748016694,0.0173186592163414,0.0456630113151528,0.0435727453997832,0.0683265296428581,0.0229568332478662,0.150332356666437,0.0197879113948437,0.0152062478519667,0,0.00115045609406306,0.0179144471756054,0,0.02013337612482,0.105515726537502,0,0,0.70742146690777,0.718852370660685
17-047,0.0255679471864476,0.126795327539952,0.0211720058493599,0.0565387359161451,0,0.164972852081121,0.0225708544261876,0,0.054956665507528,0.0358771122518168,0.0967023838462609,0.0404314677142709,0.0855499248516493,0.0200080956070871,0.0308830671843136,0,0.0073452321659501,0.00928074694114307,0,0.0139968328536324,0.187350748077134,0,0,0.810791527891024,0.604004827217246
17-054,0.0936527408000069,0.083544149224524,0,0.0416291988515208,0,0.202078962973643,0.0132796039174004,0.0196730433534676,0.0872781905356946,0,0,0.0611771712528645,0.175518172090439,0.023570696934551,0.0198606842780125,0.000525737844195084,0,0.0447144916138758,0.000874530498369189,0.00761090378140933,0.104865037562748,0.0201466844872779,0,0.692381163140527,0.731942082077586
17-055,0.00207994890502546,0.0760936682394711,0.0355010247007725,0.0430682598537421,0,0.0970351813478432,0.0429618314658466,0,0.0341367150023828,0,0.00159958164241278,0.0538422386260746,0.403668712764688,0.0453977914786647,0.0395885163073595,0,0.0126337477239007,0.0102323224998842,0.0196729741133359,0,0.0759511422113129,0.00653634311728329,0,0.684964229658722,0.73087501016474
17-057,0.0607891430823011,0.0418152270468288,0.0145764097226835,0.144173695527238,0,0.12603605814019,0,0.0302587901990141,0.0862576598697197,0,0,0.127322733094804,0.126685405930338,0.0158976698556112,0.043876526727222,0.00172639126993908,0,0.022805119055993,0.00511952308405309,0.0034690924348657,0.149190554959198,0,0,0.718448985694823,0.701183831859663
17-058,0.0922433480036311,0.064365820226182,0.0392092720783302,0.0999659192423857,0,0.143072652851079,0,0.0224027287535521,0.10364865322454,0,0,0.0800146389282311,0.0983396033389941,0.026601956459384,0.0398574858565446,0,0,0.0439169970945208,0,0.0242259445497393,0.116553124523525,0.00558185486935996,0,0.635729444006695,0.775332972591212
17-060,0.0410127167469363,0.0214449228384007,0.0582070228806382,0.122121295757647,0,0.0730313671859801,0.00101891937295771,0.0618441840784567,0.0398552352942012,0.0498596822219602,0,0.126419876914713,0.165207000543002,0.00804841854351898,0.0135896168855918,0,0.0176539155584914,0.0465414868599181,0,0.0187251035635296,0.11983705267423,0.0155821820798279,0,0.687492458697984,0.732596155234371
17-061,0.0168462068938572,0.0774764296892752,0.0212394457074752,0.0669097999787217,0,0.124896960484676,0,0.0165015293895282,0.0868542710610127,0.0121875890659615,0,0.129144777483715,0.23480309887064,0.0232150192382796,0.0364084735359496,0,0.000133586613091441,0.0141790455823399,0,0.025940287211646,0.108075044505188,0.00518843468864256,0,0.805065092066956,0.631750313849939
