Mixture,B cells,CD8 T cells,CD4 T cells,NK cells,Monocytes,Neutrophils,P-value,Correlation,RMSE
17-002,0.0540282372495703,0.317723549353547,0.00354034144319077,0.120302844666512,0.500507574181683,0.00389745310549744,0,0.914438619727561,0.462548264786506
17-006,0.0333715903749906,0.524823167980677,0.00171126192352828,0.0842520484311085,0.350314418854427,0.00552751243526849,0,0.865061638055979,0.607327265343897
17-019,0.0607626470349558,0.243076401251907,0.0386280909132081,0.359465245715536,0.293794238678437,0.00427337640595542,0,0.847894520924428,0.610657745108265
17-023,0.0363682450554473,0.122677604935635,0.144141522639532,0.10475150771138,0.592061119658006,0,0,0.934493119931626,0.382080932766312
17-026,0.0466770913557443,0.35039454652517,0.0171355510851874,0.0639475187920072,0.515498960097181,0.00634633214470951,0,0.928126438677437,0.433570621066944
17-027,0.0501674841271461,0.422506394067289,0.0157975657063465,0.104376269389383,0.405698280467317,0.00145400624251794,0,0.871249634232176,0.570965524896127
17-030,0.0316661449358839,0.331837198516766,0.0111793559465708,0.156584487462247,0.468732813138532,0,0,0.926810028353889,0.461743233554587
17-034,0.0399689807979465,0.216288191943607,0.0935374943962077,0.104782038644677,0.530414387010886,0.0150089072066752,0,0.84307962364267,0.549668605900312
17-040,0.0632003808106647,0.252761659317635,0.0214556167496101,0.153868784804312,0.497801862731046,0.0109116955867329,0,0.871647491428265,0.521530677104896
17-041,0.0613161900572477,0.249942541619948,0.239461334476788,0.160924807913297,0.284098703971352,0.00425642196136758,0,0.823018526131727,0.671090912304955
17-042,0.018843117777665,0.158437854321335,0.0137646943935236,0.151085815180821,0.642213472998072,0.0156550453285838,0,0.823044573120671,0.573578310207654
17-043,0.0509898203341748,0.293672152431198,0.146734099590124,0.130454966300087,0.376006101518018,0.00214285982639848,0,0.855089351437496,0.601693511320999
17-045,0.0618840357370073,0.366784698269256,0.207686996748981,0.081921999550871,0.275638814112825,0.00608345558105969,0,0.822250245356888,0.681684282267508
17-047,0.0496152897064887,0.366517462438861,0.224947494906215,0.150315682070844,0.207325867977903,0.00127820289968818,0,0.72696145626695,0.756037054871836
17-054,0.0574441235045094,0.328096674005142,0.197068054619818,0.0297884139194159,0.387602733951114,0,0,0.898349491731569,0.558464445003496
17-055,0.0272838004521575,0.212448578810929,0.0966222579707365,0.0464325960613697,0.610156326033613,0.00705644067119478,0,0.922678552606861,0.399426052551944
17-057,0.0447876663339842,0.630800728058944,0.0309588988342011,0.0579852605678614,0.229505895376392,0.00596155082861816,0,0.789781801085201,0.719986526119425
17-058,0.0553137315228079,0.489433127675679,0.191643433521898,0.0195750846244737,0.229060552397442,0.0149740702576994,0,0.802749426407422,0.714074212312284
17-060,0.0297984119527714,0.42026168672456,0.0507300044933291,0.138762476299942,0.353208170958516,0.00723924957088151,0,0.758313545150569,0.689269796513822
17-061,0.0413049870402598,0.41445323715328,0.108152665886081,0.110111757354889,0.321163323812812,0.0048140287526776,0,0.79026849969344,0.68021299439018
