"","X17.002","X17.006","X17.019","X17.023","X17.026","X17.027","X17.030","X17.034","X17.040","X17.041","X17.042","X17.043","X17.045","X17.047","X17.054","X17.055","X17.057","X17.058","X17.060","X17.061"
"B.cells.naive",0.344296969612428,0.273268884479873,0.489276440174914,0.232783159417584,0.336631420850635,0.343730422826075,0.343619264953043,0.332418158239203,0.372163748292379,0.396248595664571,0.147095390106456,0.32229208771882,0.430986459008077,0.415170773251472,0.420568519358109,0.236189033284041,0.394080227468173,0.271756645377104,0.360240692820136,0.355537534369971
"B.cells.memory",0.616420450007631,0.495625340511971,0.627512047212455,0.45811163036717,0.570995424027102,0.6440657656918,0.583359325180674,0.492304281129391,0.606803661427105,0.600035643764766,0.44982672446469,0.566193698551006,0.608552671249158,0.580829669049531,0.621378264235156,0.567431296123628,0.645485558973858,0.624707430842264,0.570077622052692,0.543548872217845
"Plasma.cells",0.892285154467639,0.834458868693153,0.907274281892031,0.865700304490388,0.828979081129303,0.889170180578591,0.903090924875598,0.858790938994569,0.869790583211917,0.876255943038641,0.823122496724459,0.889592012062294,0.83746387083395,0.843111046811345,0.864246243676311,0.868812845028359,0.878878734966419,0.820422287589468,0.91103346369529,0.863064602126843
"T.cells.CD8",0.627751897961685,0.72003660574108,0.650355838823771,0.520372017841974,0.585899489985464,0.625396135627006,0.673807226918667,0.60231956423308,0.554334127349251,0.561622318666277,0.49583562582979,0.600414419252572,0.701119996617962,0.67298208986693,0.667773201724261,0.628702098257535,0.65744724559534,0.739972534860238,0.577737354708448,0.556329252357431
"T.cells.CD4.naive",1.05798372947991,1.07244903103235,1.06795647746707,1.02571917299541,1.05185143295947,1.06616261846293,1.05636307884732,1.06018504950536,1.07556043993509,1.08186057368925,1.06297458642223,1.05689371962949,1.0817036810124,1.06499891498232,1.05117693092237,1.04954451044963,1.06673769062087,1.0656448279736,1.07030749749435,1.05060817473806
"T.cells.CD4.memory.resting",0.69083773969493,0.643366457746394,0.698366400117181,0.508480833327374,0.613709365743116,0.629958010751435,0.67461591109154,0.619422145301614,0.674470544575049,0.752183051345281,0.53707695199951,0.744588463455377,0.727258845174692,0.722618494325409,0.749838703258412,0.738517119840746,0.735711747185969,0.677641008648349,0.657905435943698,0.737559007682428
"T.cells.CD4.memory.activated",0.526856974009308,0.542538413924969,0.554758578735211,0.473905624172463,0.565062475764936,0.556515024208082,0.583415887283492,0.571247251079638,0.563493930543181,0.624067570565438,0.57056731930645,0.598692261597044,0.604138139199747,0.580523388620997,0.601058365816008,0.536966399749906,0.607825152707612,0.612236756244414,0.60604196166675,0.570996057043232
"T.cells.follicular.helper",0.666126784894752,0.675614602500421,0.683295376124207,0.637814433138128,0.670323252442526,0.668841066982534,0.700064619417329,0.662513659489607,0.69657841797674,0.735966756180455,0.591006159517255,0.740171846048863,0.720808161102374,0.744205366743014,0.719965723482206,0.695470449827845,0.758122701030952,0.734565181745773,0.707274195757492,0.741730470450242
"T.cells.gamma.delta",0.232939413422875,0.204527293534435,0.276843741211919,0.117532801960497,0.0818605736892513,0.119483864946285,0.219162910413114,0.127803624546543,0.268583686649299,0.2327248271483,0.138609354871124,0.243764591087005,0.267175661651155,0.187562635571554,0.269439262203075,0.233620234323594,0.215230666635394,0.160858478524763,0.203369357039779,0.223642593137325
"T.cells.regulatory..Tregs.",0.535231324636187,0.547223341566388,0.619283776553265,0.562402489237193,0.599482043519696,0.566950732843023,0.594770943454009,0.556274194598666,0.610336005264525,0.607963175256077,0.533090414894911,0.580373383065637,0.567816228387049,0.550343605538079,0.591585002363886,0.579003680237379,0.602752044989463,0.580921221611619,0.593428516826289,0.609489413656921
"NK.cells.resting",0.67073695738306,0.59466730549121,0.690867856287569,0.562807311850557,0.599624569006436,0.69602162331193,0.680480142165976,0.629793974278385,0.638558581336347,0.709665229144713,0.592779302324257,0.690530302048634,0.663549153891423,0.709597287756533,0.686510884048838,0.664537068377349,0.696255952732917,0.628194674130865,0.614911946343107,0.719270339014154
"NK.cells.activated",0.624549165936367,0.651341891298836,0.668245932416088,0.439548413198327,0.443526565585141,0.590207702795547,0.560644320014977,0.662505591520038,0.631178951477996,0.638600102957945,0.734145499520318,0.692339046897545,0.723111089244565,0.706143908622499,0.676872186960646,0.571174636730615,0.674221463058677,0.582814473954038,0.629788669676883,0.723134925669657
