Input Sample,B cells naive,B cells memory,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Neutrophils,P-value,Pearson Correlation,RMSE
0,0.059020408471214016,0.05734030535603798,0.0656556805079657,0.04121132120937915,0.11974675623752487,0.09652773901080314,0.05779224070419483,0.05077843139392475,0.07481340010460344,0.06411853625953923,0.07197251704653711,0.013225963790662596,0.035452551671772074,0.07948644529852274,0.06263245876691995,0.0502252441703984,0,0.9235121537928537,0.6220301908403525
1,0.049058180572567466,0.05210290131766865,0.07859260114382122,0.05750769547328098,0.12285719183162215,0.08155310363621007,0.050884607485506744,0,0.1117297145655382,0.09901339136671022,0.022552717038796775,0.09972564010752137,0.048543542967384515,0.08429691614439089,0,0.041581796348980696,0,0.9393759614423294,0.5946200901062124
2,0.04805069406387225,0.041760239435656404,0.0823742213124306,0.1296558739610991,0.06433225643988376,0.07215272887964863,0.04409161516056329,0.0008,0.07414597944989924,0.01776857325817196,0.07303840150039463,0.04588156218898624,0.0960876003490736,0.03871369574657938,0.09732701500945476,0.07384208481068642,0,0.97342390150606,0.5869399127115053
3,0.06404822820961335,0.09152709985371678,0.015698302841596068,0.18513188091823718,0.13522812053887706,0.10301401342340204,0.017737050813806762,0.02832614925746891,0.07102655417352445,0.03275679075056131,0.04128874803253206,0.026933974736037064,0.06140816046002714,0.07589304561067732,0.04523822706398743,0.00474365331593506,0,0.9395524525690906,0.6054030577769226
4,0.030944985351877435,0.10227455618318229,0.08203597742338666,0.09784878950211529,0.07218340201483632,0.09524218661701038,0.0813168093525664,0.07026579277768634,0.059011688620378776,0.024160853814560512,0.0783349358143755,0.06344149613565686,0.009262245637522003,0.09395320567357139,0.03972307508127383,0,0,0.9280785460417961,0.5974453698002774
5,0.12002922817775631,0.1443011812136365,0.0001,0.10049730383139845,0.08647343831196916,0.011860466604644675,0.07310332779020796,0.0958205861984219,0.10255186847413172,0.035391145928831115,0.08141009736561669,0.10195047499780248,0.0009,0.010118618054638224,0.02360295051201624,0.01189979758390418,0,0.9299730738196256,0.5508372336321824
6,0.051340572952121244,0.051808619685695126,0.08627555420646403,0.08479292147058531,0.09095317477313054,0.06573293223153016,0.07278754654588471,0.09198952568652342,0.09131901603336252,0.0527934746631277,0.012618962609000398,0.10271710811936303,0.05328060412353206,0.019376763692803802,0.02596295817371298,0.046250265033163,0,0.9651584363640554,0.5280391501018044
7,0.07881550959255897,0.029220884842501953,0.006595092550533868,0.1590742052448344,0.1585154576433277,0.17370185722200357,0.06045127341255222,0.026718321675246366,0.05309511576837795,0.02456276725153435,0.04034314930514311,0.0018561016822218382,0.09411648202704068,0.013128262822851256,0.0052458023026855476,0.07455971665658633,0,0.9360390542529992,0.5966783924747026
8,0.04350164751141974,0.09224731034338224,0.01593997985386097,0.10012049527229638,0.100536059426712,0.046093799714585264,0.08883353288341625,0.025543236367256375,0.09994356673171988,0.05553138567580122,0.03463518138999426,0.09344450039658805,0.027947097734908936,0.07476464910611322,0.0826317471163014,0.018285810475643833,0,0.9274442591418651,0.5952064267498351
9,0.019640116629334823,0.008847724528587996,0.03892056093534581,0.12402200636576155,0.1508010958953942,0.08823525056241106,0.04702131282542037,0.04559509374312164,0.10109768627141383,0.09868637311330514,0.045824381077673774,0.009903339242690786,0.10304945595212478,0.004046499490005862,0.0635576585091908,0.05075144485821754,0,0.9170145121524775,0.6041276599516376
10,0.05456260143528444,0.08801444116476428,0.024923554491372322,0.09159525793632763,0.10827057982431611,0.09582629255467555,0.03238760409556069,0.02961556626333669,0.08988856338299892,0.06948233523071956,0.09435379068434946,0.04052362526281061,0.08575284013387628,0.008202152223952113,0.038247518923055376,0.04835327639260005,0,0.9718348802101182,0.5915358211333975
11,0.07707988883981855,0.07308872266301146,0.09136551807509781,0.0881913793095713,0.07785815414028065,0.07633278248550485,0.018522972044582565,0.0967300746578048,0.08601807903473982,0.03867202543126961,0.08853939941903505,0.014080442942637321,0.06436855265107203,0.018443680546492574,0,0.09070832775908166,0,0.9171286121834865,0.5966187211169979
12,0.051913102444077076,0.06533772540607144,0.00367137618015378,0.06144624875155409,0.14214152168396263,0.10152330517064806,0.046049112317165374,0.030341450048442183,0.04148089629984865,0.06961541630883669,0.08357582875649107,0.05736794662046722,0.08472517088489251,0,0.08085864323213815,0.07993392321921182,0,0.9153392036684505,0.6410417035489498
