Mixture,B cells naive,B cells memory,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Neutrophils,P-value,Correlation,RMSE
0,0.0606374055322835,0.0621599349988175,0.0655060310361293,0.0383852043347156,0.112117826947949,0.103327551453426,0.0594353541197794,0.0463614823390199,0.0758260490915656,0.0614178882452041,0.0771104079982587,0.0210499984188166,0.0377636433764929,0.0681855540705635,0.0591998744685573,0.0515157935684216,0,0.980551871368726,0.581288770659489
1,0.0489536668434804,0.0591760148147776,0.0699085901169842,0.0780546526125273,0.127230954548587,0.0632242916327496,0.0536672840431161,0.00525241793532757,0.102561960294023,0.093737146593288,0.0329191989884267,0.0873357624711649,0.0508234334446555,0.0721650732503321,0.00852660949859166,0.0464629429119683,0,0.982796055209412,0.564432966812401
2,0.0544159120360683,0.0373955503604579,0.066928246599114,0.127565279266698,0.0770242337647752,0.0757636645803215,0.0407749755433641,0.0243686081760719,0.0665666905904672,0.0196691247326693,0.0759314553515459,0.046450334027363,0.0926698440540128,0.0373097115460005,0.08716166409514,0.07000470527593,0,0.990083435782916,0.576060770400402
3,0.0634160048578874,0.0879083593554525,0.0198484761806391,0.175983614099807,0.128105889906004,0.0935814501034607,0.0347141808927188,0.0222129102054714,0.0737453496884163,0.0398475254905115,0.0412614251963437,0.0282852835334074,0.061976028330299,0.0714089847672355,0.0491186686335454,0.00858584875880033,0,0.982320008414475,0.574437334420312
4,0.0309025943388557,0.104763053767775,0.0642790773676833,0.0968178703931095,0.0753080084126954,0.0971859869702626,0.0815985458321373,0.066249240643425,0.0621442660448957,0.0221192862682777,0.0761223334481954,0.0572975779866182,0.0285877178142078,0.080261883365892,0.0459494004180724,0.010413156927897,0,0.985391713003892,0.559063991155999
5,0.117638845932718,0.12552072649249,0.0206175758605768,0.0861821993985157,0.101970829253803,0.0244976063393212,0.0502585090080447,0.101479621819417,0.0907218267317758,0.037550568047414,0.077865085262832,0.0969892099886806,0.0136736438364958,0.01135162083924,0.0228978909518676,0.0207842402368074,0,0.983639242492065,0.513758061087654
6,0.0488212066682719,0.0539192719036577,0.0707883756779674,0.103665443108234,0.0979943168674014,0.0509091698270193,0.077212062330653,0.0798690128308258,0.0914943045438647,0.0562692697734707,0.0172400893586567,0.0915997820004769,0.05701598588587,0.023676618222564,0.031842404653459,0.0476826863476075,0,0.993004632959922,0.511618408193393
7,0.077205255007803,0.0324261476680067,0.00125999488101154,0.161282896110282,0.160072171463827,0.142397333952113,0.0562364318466551,0.0415701172530391,0.0506186841704212,0.0262607915104137,0.0435463884005743,0.00450871379583367,0.0915696723793982,0.0225499340312671,0.0155663099548611,0.0729291575744939,0,0.982897995684441,0.564840374095522
8,0.0465797954594321,0.0797192852927193,0.0217378684861737,0.0996373594429517,0.106450531868088,0.0513187044760544,0.0791870860626172,0.0247709494934417,0.104175867952265,0.0522915385501978,0.0404548703035309,0.0859661474374017,0.0337109390816065,0.0724076415181606,0.0759167287398444,0.0256746858355152,0,0.9844844837527,0.553110341300953
9,0.0200135817717232,0.0169541625422216,0.0468647610539115,0.115786575560457,0.152690218434783,0.0785089506682771,0.0360257946835859,0.0446599784566108,0.104634908625242,0.0941825352898543,0.0506677836998704,0.0135652746469533,0.0973293957784753,0.0198101074023623,0.0578082791590467,0.050497692226625,0,0.980038995852077,0.557955530160352
10,0.0482337387877196,0.0931910215375605,0.0294696697429725,0.102736961993508,0.0891497341096268,0.0966767440901874,0.0313401711999882,0.0309582313995492,0.091419346761964,0.0701466495709221,0.0917153767448017,0.040572432391385,0.0841594764685816,0.0138884789051746,0.0387108316253221,0.0476311346707364,0,0.991848763557176,0.577180731099942
11,0.074005907692181,0.0815833758407448,0.0812861650953254,0.0919622665339047,0.077684906545519,0.0876095455229981,0.0212870242459743,0.0879352654866502,0.0827633850910063,0.0403041726069449,0.0854909182037163,0.0165384323319872,0.0619442389488669,0.027399001608612,0,0.082205394245569,0,0.98219359218852,0.551179436491071
12,0.0450210434108787,0.0691084322584909,0.00860902077894038,0.0893986841168545,0.124411453040862,0.0966993962980551,0.0460813890077381,0.0337045890108521,0.0446252277969663,0.0676636747789222,0.0818384949470014,0.054839933371263,0.077899735168907,0.00528366763017832,0.0741763382095788,0.0806389201745115,0,0.982996428377756,0.593341555916867
13,0.0583639511005043,0.0793760438803688,0.0578363139591217,0.138504825688384,0.090776287938204,0.137439872220331,0.0721886475989695,0.0364813645612446,0.0601321467585702,0.0271874320877423,0.075808366982379,0.00802446927008738,0.0632893484689697,0.0224697310681547,0.00816167280880147,0.0639595256081675,0,0.986009139825777,0.556830896368876
14,0.0490142603332713,0.0810468746770296,0.00403830049783313,0.122506362595141,0.123497287329238,0.0733260732046443,0.0530152810015105,0.0214604986409343,0.0970497894494171,0.0630903701851238,0.083884326654776,0.0378118732001388,0.0773924866219522,0.0472670029143606,0.0501856283634864,0.0154135843311429,0,0.98909912204683,0.577109031267375
15,0.0986345610463206,0.0456686692318894,0.0187632400577312,0.105149824433283,0.146741170357318,0.0752208909849268,0.0475283685597195,0.0608734593959776,0.0208715233620408,0.00415701850758101,0.0737063880978091,0.0155832890370269,0.111469221852221,0.0313489699541451,0.0573223070655833,0.0869610980564266,0,0.971765338628642,0.597002205626366
16,0.0949103575466824,0.0668830252849452,0.0788159565311591,0.0782892364415608,0.0964670681152392,0.112644506817438,0.0029739283364364,0.0630956248568526,0.0285271609161354,0.0720114399453711,0.0592491136567014,0.0361121604454963,0.0661635211838836,0.040825884894004,0.0315043918073998,0.071526623220694,0,0.987687414681937,0.593081898861352
17,0.0602168171394526,0.104497457408579,0.0504509484494829,0.128086757112152,0.0697058803787271,0.0660726318833922,0.0928718938529569,0.00854142279614325,0.0377682765733568,0.0939225306336132,0.0780329184444115,0.0715138044927775,0.0595336438920371,0.0452824235921997,0.0180928984197692,0.015409694930949,0,0.984568325706163,0.584768239082228
18,0.0791857324460045,0.0597747100020661,0.0914028958899771,0.113119591594573,0.0972271343018514,0.0959473734575457,0.0726707423181359,0.04611691558243,0.0311839553193311,0.0166829658616971,0.0454843475511166,0.0499564703902224,0.0817543112769054,0.00418258632730555,0.0645294734962464,0.0507807941845922,0,0.984752307089835,0.561855902429314
19,0.0219002374484208,0.0519789988706847,0.0972569969506304,0.0903279428690518,0.0708578651073861,0.058048921661874,0.0500306619029183,0,0.0919031414647585,0.10751030093372,0.0495603744587679,0.0924254991233575,0.0945100614297298,0.0608885723771126,0.0442422324322827,0.0185581929693045,0,0.977323917254571,0.578692291465973
20,0.0862362283773273,0.0310634715819555,0.0431793858002843,0.0823828268111381,0.045153084945328,0.0903419515433553,0.0375604111970537,0.0552557584735936,0.0766029187697058,0.0556225009953506,0.0661169224830818,0.0771276845297799,0.0800458351639854,0.0655570990794774,0.0569041176791374,0.0508498025694458,0,0.986660854089658,0.580969500217964
21,0.0184152541705307,0.0836608761162593,0.0603530402045742,0.0813295216536784,0.105482060541253,0.0879485908047519,0.0493473353693375,0.0187716264576969,0.0550575844714452,0.0335175861510865,0.0935916148799431,0.0895181989640173,0.0784999614924169,0.0164079595584074,0.091195569009287,0.0369032201553146,0,0.982799258914902,0.574959903878366
22,0.0185584803379001,0.0992283217633575,0.0244697653044483,0.118145441284525,0.130646230745018,0.0574706086825816,0.0346435790037124,0.0183557672607672,0.0308259219180086,0.106517218630756,0.122069849511207,0.0577563975209429,0.0989512516360444,0.0156741131791562,0.0337328935953171,0.0329541596262578,0,0.977443086621093,0.603286241558139
23,0.0844215823941954,0.100137105583356,0.0647017988620615,0.13169640772017,0.0570836759380677,0.0636457786258333,0.00218023267343521,0.0145452620152532,0.118245070635399,0.0442461649497336,0.0433794376448697,0.0988978609285178,0.0287754589397172,0.04636022841282,0.0549743193701638,0.0467096153064068,0,0.988670838671615,0.544798218736011
24,0.0610721508153098,0.104294300552587,0.0482711327122457,0.0769136799790073,0.153581747666777,0.0870464324823317,0,0.0944619405352827,0.0200174292173463,0.0365142892037458,0.0571952378015552,0.0729030139089051,0.0620907571458722,0.0678689891240019,0.026682547076737,0.0310863517782953,0,0.980014733819763,0.591579233257529
25,0.0341756443530054,0.0632805643356515,0,0.0723732256948652,0.17669699344281,0.136266049586439,0.0192891792501797,0.0947078276987672,0.0473260911744689,0.0425531451903663,0.0881637686943088,0.0476220273083379,0.0214732128914481,0.0495098389416891,0.0390864220241187,0.0674760094135439,0,0.966619659125762,0.594249975703562
26,0.0587426441847506,0.0260831991473508,0.0627399588373413,0.0552659028148681,0.169788395317618,0.0784330278315243,0.0435634119901796,0.0121078064539854,0.041961084186212,0.0404402654373557,0.108104554569558,0.0396490366315727,0.0901222344920772,0.0169863560529128,0.0821127905530266,0.0738993314996667,0,0.9812608321591,0.589037333645013
27,0.0751147285626633,0.0712912932206567,0.0629846374627814,0.115459662121452,0.0829476775489048,0.0223894521813514,0.0371225775779936,0.0852775849480655,0.0743857904038099,0.0159944525377107,0.0193851029466547,0.085671988482927,0.0915152042216586,0.0726775358954465,0.0589417954217491,0.0288405164661741,0,0.99327645604337,0.54478406549089
28,0.0214179612932145,0.0940688466809049,0.0319832281595593,0.0852420936239914,0.143661532966032,0.114037056816222,0.0144621377562349,0.0642236007358819,0.0716276160528213,0.0956666093458781,0.0753316565490762,0.000744193883456456,0.0406923127691354,0.0736884470077935,9.42329865885292e-05,0.0730584733732096,0,0.971858002367892,0.58788999514077
29,0.0779352156299626,0.0430329649064082,0,0.089452500680227,0.170611482329208,0.105609482843544,0.0946072284565748,0,0.0826308676429607,0.015761365631299,0.0399863735556301,0.0812602408640707,0.0571041745899527,0.0349873399754397,0.00844343400929497,0.0985773288854273,0,0.981943462109145,0.557465848159277
30,0.0959988545016889,0.0615509219940823,0.0558900314271964,0.109795974094204,0.0286929793107965,0.123248557868667,0,0.0479833445586612,0.0592972161545336,0.0885931678987719,0.0722218958334928,0.040031680017428,0.0580319474866455,0.0320488738272781,0.0625622658730066,0.0640522891535473,0,0.974412217827901,0.604542308088041
31,0.0361417987094957,0.036872351289274,0.0303422407757395,0.0608221791822232,0.121451127694358,0.0470496882328967,0.0879545529331426,0.0654014790298887,0.0965952208927338,0.0674940977534508,0.0608460837855973,0.0712888245892756,0.0240126608020408,0.0519414429390779,0.0929112492060514,0.0488750021847543,0,0.990073016876722,0.534909119398915
32,0.0824591748810394,0.0660300294135265,0.013508596547519,0.0695007791992302,0.0880567332183661,0.058724902821063,0.0797886664504755,0.0568335959358532,0.0395195242785123,0.0411021793165047,0.102255355648395,0.0713032886774517,0.0488622344561342,0.0541859138159251,0.0697595664230703,0.0581094589169341,0,0.976917351838265,0.589385922923904
33,0.0506341195342214,0.0748784799551722,0.0492795049297235,0.0584019266213322,0.100739498177878,0.115303025536724,0.0610207200177889,0.0202272074908517,0.062632987206197,0.0764686990508802,0.0687834669665078,0.0394360171395291,0.0707536002763886,0.022795522480981,0.0568352461537184,0.0718099784621053,0,0.981936997174166,0.591769010256271
34,0.0636339533530609,0.0586312894260328,0.066016938450637,0.0633727579510928,0.135336885171901,0.112096874410891,0.0247388486565217,0.0159861285136391,0.0423120173799284,0.0790523427474945,0.0608429037380482,0.0432289181290948,0.0386125141525998,0.0929632296537517,0.0352988909176686,0.0678755073476378,0,0.980319608011711,0.606212756727536
35,0.0557679434843874,0.0570092752118383,0.00983057917741473,0.0881727225552269,0.104714942052708,0.0388520484080319,0.083323105684792,0.0387653314659937,0.0872927713839278,0.0735235899400417,0.0638921996935566,0.0397989561089543,0.0426510766801453,0.0512138447889152,0.0744807547476796,0.0907108586163863,0,0.982651605402135,0.569803382665293
36,0.104665052045677,0.109968319274608,0.00556508306662028,0.0738436071088877,0.118195444882317,0.136023653198629,0,0.108324260998677,0.0197969238322753,0.104688745301841,0.0272588962426975,0.0105720813461451,0.0224782385590575,0.0994158452630039,0.0286794869733168,0.0305243619062452,0,0.967953345382143,0.607862007316234
37,0.0374141573734324,0.0809020920671668,0.0352055918596465,0.0351872542067988,0.0757648368670473,0.0939909471850832,0.0886967730273195,0.0642378642476892,0.0304982960809257,0.0876338832917188,0.0897319921982974,0.0118887617974609,0.0768521408362592,0.0558368135981482,0.041664920235302,0.0944936751277041,0,0.974672264114344,0.598075223847697
38,0.103855988861772,0.084931171495745,0.0363944181730446,0.0782273589630453,0.115009766757164,0.130461850292163,0.107328544351086,0,0.0326135131431476,0.0952426049954176,0.0557125821110308,0.00544858324027203,0.033561630202192,0.0886826720016144,0.0028913414736731,0.0296379739386328,0,0.97875497818291,0.589296637617824
39,0.121503263730186,0.0495128175080478,0.00951703268195246,0.0610415014515417,0.120037367148823,0.151052470639038,0.029544770766943,0.0295908193067836,0.0878028042545511,0.108347581910144,0.0428571297969637,0.0492658948963337,0.039884594076011,0.0117900166777137,0.0220242959910796,0.0662276391638881,0,0.975783614547159,0.579872554251664
40,0.0363135103162016,0.120477712781753,0.0110769992193086,0.0492415809581429,0.154777547689422,0.0450440643916713,0.0504806418012196,0.062586459288484,0.0235683502426203,0.066033006521889,0.0655519447521836,0.0794907243218672,0.0675475251247084,0.0324191888170633,0.0397611620205995,0.0956295817528658,0,0.987138015291464,0.582752680461309
41,0.109632364263883,0.067095180872977,0.063959262900623,0.0364818550835265,0.0864446914830626,0.114302907045117,0.0280186462999332,0.0763949381545061,0.0448163187136867,0.0177211737669068,0.037496313097953,0.0568267401128284,0.0787984635170484,0.0773099510196549,0.0823482060030601,0.0223529876652329,0,0.979904199843595,0.587281774096941
