Mixture,B cells,CD8 T cells,CD4 T cells,NK cells,Monocytes,Neutrophils,P-value,Correlation,RMSE
0,0.193051300932238,0.133607553050943,0.0660436799410263,0.278561727944254,0.224394030870045,0.104341707261493,0,0.870248717237885,0.629807875470896
1,0.107183426780184,0.144789230589334,0.12966761421567,0.266497589640665,0.227147842955699,0.124714295818448,0,0.879864963341113,0.618896889934753
2,0.131018531243823,0.108761998702191,0.195290100104997,0.242279928389876,0.183134611546342,0.13951483001277,0,0.820401853955679,0.678800046970906
3,0.197052961594008,0.00967117537769035,0.351197150388978,0.247735269601329,0.168623307101213,0.0257201359367812,0,0.827126373710187,0.708642695972933
4,0.149425639782414,0.132847841710865,0.150883841532157,0.317665554887689,0.181883794863755,0.06729332722312,0,0.832111440371259,0.679069733223206
5,0.32512300746732,0.0636856692765646,0.107885757724175,0.31807658420332,0.130101395753784,0.0551275855748355,0,0.840974745321376,0.668542338984635
6,0.11425642089574,0.099078338526136,0.194397469620655,0.298190845833114,0.202015117180962,0.0920618079433932,0,0.890549731051394,0.630534674455866
7,0.157140201427733,0,0.329572764909571,0.253063871725551,0.134833995801268,0.125389166135877,0,0.873518006741248,0.666411492326375
8,0.136839876593897,0.0801288258521771,0.206944188826076,0.276554303746544,0.202319051751789,0.0972137532295159,0,0.848821314315738,0.662870200191101
9,0.0494557797980422,0.0549988329732852,0.260441212560021,0.275360432661647,0.261481263567916,0.0982624784390883,0,0.872312663585955,0.617003696782043
10,0.170705252539225,0,0.23919269641384,0.269352922923929,0.227144126793905,0.0936050013291017,0,0.862287676091703,0.644867492913235
11,0.201465035428641,0.0717326745789141,0.133718440878577,0.270961804279187,0.175656884792287,0.146465160042394,0,0.86524153023286,0.637910913840824
12,0.152639462979033,0.0922714670533226,0.194065056158377,0.172556443092126,0.236774708716119,0.151692862001022,0,0.879577660909544,0.614749468881244
13,0.181903862675196,0.0699124937483232,0.251301554450995,0.234897628698722,0.147660217430513,0.114324242996251,0,0.85923722086508,0.677645546777674
14,0.146195253081268,0.00375961611801127,0.294853442605751,0.256915644463341,0.236984173214315,0.0612918705173135,0,0.857919263728649,0.657905431107541
15,0.182183821781298,0.0949878205971104,0.24453137702198,0.197345253602089,0.162623327684027,0.118328399313495,0,0.833939073958262,0.692263658695905
16,0.17646389995967,0.0791509782028914,0.166083228294916,0.241655094672793,0.193729139864216,0.142917659005513,0,0.859048286560593,0.644513835490678
17,0.221694497669966,0.0569255824113847,0.163549637241835,0.216829884379696,0.293036802098441,0.0479635961986765,0,0.814277934369901,0.666438166252703
