"","X0","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46","X47","X48","X49","X50","X51","X52","X53","X54","X55","X56","X57","X58","X59","X60","X61","X62","X63","X64","X65","X66","X67","X68","X69","X70","X71","X72","X73","X74","X75","X76","X77","X78","X79","X80","X81","X82","X83","X84","X85","X86","X87","X88","X89","X90","X91","X92","X93","X94","X95","X96","X97","X98","X99"
"B.cells.naive",-0.0399923252479726,0.0717008895067278,-0.0766356767640334,-0.0300755014211193,-0.0301406034768229,0.0901436935890012,0.0302294749117324,-0.0302391940416645,-0.0907410943442516,-0.0636042033166769,0.0450462488692667,0.0701013660913225,-0.0432153090312351,-0.0205587087190236,-0.050975877664819,-0.0451669809281661,0.0360902181204454,-0.0206618155119813,0.0228603744723175,0.0488793798364627,-0.0156477115735155,-0.110924950028916,0.0225964758244898,-0.0381703940771413,0.118740107499851,-0.0673460603274357,-0.0737409476985117,0.000659085645176611,-0.131425010441163,-0.0293405236828433,-0.0429456992661361,-0.0604413242209342,-0.123423870144822,-0.03643139626427,-0.0640536492740781,-0.0393259538918377,0.085789813064072,-0.0903740306774012,0.00945069595581134,0.0683441400529003,-0.0241714647564195,0.0256941507764151,-0.0183751838588295,0.00012852046187837,0.077489639456203,0.0119420724048708,-0.0798337038727066,-0.0778220593962149,-0.0322103805016658,-0.118424074781487,0.0319865370468699,-0.164995664108877,-0.0645044684626108,-0.00114212684194635,0.0720470695073628,-0.0434463766790701,0.013232156904529,-0.0163959664119093,0.0176241158897923,0.0178173440131818,-0.0866144561985427,-0.0725419725658365,-0.0599656210503925,0.0383252398909289,-0.0655776986234988,0.0657924621917921,0.0637643176652621,-0.00650243697810886,-0.118077618979161,0.0245353868110011,-0.0235848011937559,-0.0895987196741986,-0.00174995554718416,-0.0646373101218044,-0.148229533120956,-0.0420484047699559,0.0832255224571889,0.0239836161181779,-0.0309280603135812,-0.033666145197376,0.0649735124681525,0.0492203805955017,-0.0418194918806134,-0.0104632529984193,0.0462073339224389,-0.0714468042318017,0.0804056166676171,0.0211462659074824,-0.0407207386911343,-0.0835766263619522,-0.0416881104168171,0.0758923467878763,0.0191925267535894,0.00520668365596393,0.019695903408,-0.0874382868333964,-0.00232164735416681,-0.102694248334267,0.0637547053531404,0.036426179202107
"B.cells.memory",0.127202761947369,0.119957025064062,-0.036799606896134,-0.0204422709244292,0.0661643992831447,0.180912325456058,-0.119384679898692,-0.0338641754927208,-0.0469287253703095,0.0540059935500177,0.0443525667784814,0.137519159112857,0.032042156436514,0.0102638638997863,0.0168324761327202,0.095566755885505,0.0879794916845037,0.220223583114689,0.0377701520557522,-0.00832278640838237,0.0608719005452584,0.0389093477099665,0.00034111576374288,-0.0998037206074386,0.0928405794187153,0.10799628327257,-0.0789338202993259,0.0937404413284471,0.0317361659676605,0.0282423586095388,0.0650315961728355,-0.0298355961725525,-0.0429357419213026,0.155693822161581,0.0109724678219696,0.0484895707965964,0.0580636141043904,-0.121676894459184,0.144312006414726,-0.171823859833919,0.0516945071117763,0.0591516722895009,0.0385921951759426,-0.022610388355533,0.124915333682429,-0.139631088227112,0.129668991885437,0.175711719476474,0.192242043783736,-0.11634151824381,-0.00018285778148088,0.05531107377563,-0.0250336173382287,0.0022559481775557,0.0869036442671062,0.115183155297343,0.00133138400298786,-0.0891126445844512,-0.0823580714974067,-0.0659430287394698,-0.0373620073300965,0.0507572172413184,0.0913130218771718,0.0962834152425017,0.0685328760581839,-0.154738471365066,0.0908185178912588,-0.00352045520682909,-0.0354205268697239,0.0295761027272298,0.0536117017664876,-0.0891273055901976,-0.0569581652421368,0.112110075194339,0.0387971708154317,0.0457456545831582,-0.043265723048429,0.0248878259647825,0.00291728516711867,-0.0172184135576324,0.114894453236389,0.00626477602265146,0.111976405336035,0.0520480839881045,-0.0622744952042143,0.175799765767784,-0.0199443422975642,0.126446839404255,-0.00195634240417475,-0.0222566918523608,-0.162959629331513,-0.100785760078839,-0.00322344994193673,0.0664015047019838,-0.118528168939695,0.0580768966318861,0.0668086809117607,0.20601723368338,0.106744727949396,0.174694248338531
"T.cells.CD8",0.107369149510935,-0.0502500855408377,0.204414863596694,0.140785705577568,-0.0432203682520458,0.0341273644597776,0.0269987495697579,-0.219116007031214,-0.0238352238468429,-0.0612975379463482,0.0157868771660892,0.116925135205145,-0.043042536981768,-0.0312855759984219,0.0162779447913579,-0.095132392083498,0.175628711264714,-0.182758955791571,0.152650658627664,0.0810376428494154,0.0285883988556071,-0.054592968453069,-0.0287878613968643,-0.0304639719786299,-0.172032774925852,0.0575992494691733,0.021380456090692,-0.037993653511384,-0.0815228974022584,0.0457532277138323,-0.124762262981456,-0.0595745970031098,-0.0433157956871914,0.0484701253042713,-0.144978447895877,-0.00265036120893813,0.0485167022818378,0.127332516383652,-0.00571238553771971,0.102835179496238,-0.0211370842553611,-0.0450149684188896,0.14421514664787,0.0458700469425819,0.0944231930903118,-0.109634292434612,0.110006715707464,0.0184007896237236,-0.0655656313093138,0.00940255087249714,0.0937641471551143,0.000772989085696121,0.0923475392160457,0.0752710917746558,-0.0613720091412189,0.117467170996226,0.0360894284720717,-0.0904706238032349,-0.0577728643625126,-0.132635729409866,-0.0200744470201812,-0.101025595861002,-0.183005399478234,0.0254468563210007,0.0192554920050361,0.0832062842999593,-0.0475127801015139,-0.0315350091120528,-0.122833550442751,0.0393643419892568,-0.121058811722912,0.0135233691916593,0.0641562162308387,0.0819576466321111,-0.0087706163405234,-0.128868933519899,0.0829011206524127,0.00386875300341464,0.184604669102739,0.0433375644622605,0.0208827546330317,-0.0237208923687177,-0.0485528281999895,0.0448176397378399,0.0245552241869497,-0.0280760397219267,0.0232671847329218,0.164272493553277,-0.0901525264643425,0.0158872378771103,-0.0657237789552965,-0.0652184937841271,-0.107815818863071,0.0307523117882417,-0.126332166211476,-0.029651356110947,0.0088147779016093,-0.0770622991925116,-0.0168228561622977,0.0337089158099185
"T.cells.CD4.naive",0.775615573656196,0.778145761121649,0.777431785546759,0.779070725974154,0.779069619980105,0.778985705402271,0.780328774737938,0.777169316010156,0.77660388668491,0.777073013503006,0.778479564182981,0.774437862239003,0.76727007933093,0.777769550763114,0.78005554379376,0.775511080782991,0.77494344579122,0.777928120372526,0.757809007925538,0.776945810924341,0.771618718955662,0.766302798623361,0.768366218350909,0.777120895158907,0.776876599633041,0.772585849933868,0.778539161932137,0.77592939599747,0.776093182070547,0.77296680310192,0.776571074290983,0.776873053610917,0.7750540100657,0.775492456025998,0.778750350709264,0.77499213505316,0.776280323215719,0.770674081787008,0.777909826132303,0.779131500577649,0.774923705880336,0.77239211326811,0.775017852655904,0.777652311757392,0.774556773797351,0.766671433865124,0.776056426704739,0.777202179938804,0.770435080159988,0.774460451549071,0.776317704564229,0.774228167112726,0.778114598298245,0.772227352713458,0.779302997181054,0.779735542193238,0.780883992968786,0.778822423146785,0.770826791131195,0.766962548033292,0.778402841834899,0.773494933917523,0.78009043035116,0.777970730479564,0.776279967492534,0.780445992755572,0.774765547075344,0.776702253022778,0.769574037879781,0.778739172165492,0.778449473356492,0.773117746679301,0.775460828611251,0.773833767877711,0.775550237435341,0.777557667784419,0.777529292728275,0.780355611694532,0.775443098680082,0.777892834681063,0.773979433436744,0.778001989581109,0.776567012982931,0.775433798057826,0.766257162610194,0.778277238124212,0.773625452911883,0.779502279066478,0.778453624064853,0.775442893568988,0.774153522836825,0.777210287929751,0.775384232362796,0.780418449813323,0.776430699853813,0.778485406757589,0.771435847736606,0.775247764751339,0.773744026801108,0.778909064952961
"T.cells.CD4.memory.resting",0.130595479389913,0.179666491150911,0.139795943743441,0.256795367073454,0.0940450471046468,0.167898433939735,0.15927611724876,0.148317264861239,0.105113225619912,0.123901905015179,0.127381142276546,0.138399738416094,0.269838396261845,0.0969144050504902,0.102566411470797,0.211034696574897,0.126790152858903,0.130668444501272,0.234752372531117,0.196135871401666,0.12450731205727,0.187615328072609,0.24672962661506,0.201415777084096,0.225770538464962,0.120272467257803,0.226120895404001,0.162990622545441,0.221044493089554,0.19734279888066,0.112457119925812,0.218110953507888,0.129920875074978,0.236253986291109,0.0891896356360128,0.12933731903732,0.172958736805806,0.163997183742659,0.198605736764785,0.141590831742213,0.146616080869405,0.120597220255241,0.132274026207208,0.188231315051607,0.143866381230495,0.158201122588887,0.223612146329299,0.116140378735322,0.11699045549301,0.200852382351801,0.204757858727844,0.16837971448769,0.219646775524531,0.258136941303274,0.19479500805874,0.15697644666012,0.128460292115663,0.193952278534536,0.176495602691989,0.139665239956756,0.147741701636449,0.104366035339783,0.235283477076275,0.174650578846436,0.17114787769623,0.298558042235446,0.169428240330064,0.0873792748618141,0.163618422788161,0.15924881227746,0.237967216045874,0.125919441596899,0.141118125044466,0.149935480659825,0.188772036768936,0.172754962809598,0.114335760798129,0.214230907071825,0.0843138596822156,0.222581412044949,0.0667272676753598,0.118151062411565,0.122572899360541,0.168256166089295,0.173772972421644,0.129207391247208,0.234206200212129,0.220599474589575,0.226985714108123,0.145992547553315,0.126958534553472,0.169237160666592,0.102641338921603,0.175444194443496,0.217235466637742,0.192774718209894,0.1924727725124,0.153257120913847,0.178325300234771,0.296040485444351
"T.cells.CD4.memory.activated",0.336572631639232,0.273271819430954,0.414736939379407,0.401691452137216,0.326285753975662,0.272242439372938,0.248554280004409,0.384478131108052,0.314162182764606,0.294801143289909,0.414874640479209,0.254998177878151,0.308409873547934,0.385011082020242,0.43657622931782,0.23095225414429,0.412173857832852,0.212642796609568,0.29476578326742,0.290299225481607,0.332533562758321,0.349766301122186,0.200162392325434,0.279690676589296,0.339641462972465,0.336135217491914,0.280103618038162,0.248877246773228,0.369612649512614,0.380195638210332,0.418117472699425,0.363736325645802,0.357161664529086,0.357271442020428,0.338053721644715,0.177074727877997,0.288520617391872,0.344640592299152,0.412687441121331,0.284675324517127,0.308815315390126,0.393494662822659,0.413403251895381,0.330119821736057,0.421245673837743,0.302891120160002,0.247234659807805,0.386282050229691,0.399559930902812,0.242264088656402,0.353221291825137,0.430983957528651,0.317225048480264,0.310190271606921,0.292216627128439,0.273654504742452,0.374812435985418,0.275605052757483,0.266101106432348,0.362760601202815,0.348434372121611,0.387943596017985,0.311289377669564,0.439222988253289,0.2459518017495,0.3654089374683,0.37081645307199,0.333031384619758,0.165570334983127,0.345852426134919,0.274720739787368,0.361859735529642,0.367963512130269,0.325738905878387,0.361302641406741,0.396146233037725,0.307006765073006,0.408053802589899,0.2900750364963,0.338711157761906,0.367564609460565,0.247286906717963,0.334409007611642,0.333701744838478,0.353035251740702,0.284558953287671,0.295580085317055,0.311945819532219,0.306009173369196,0.319111015564107,0.37345689687495,0.301758207242676,0.421533828839086,0.303669824698105,0.248420998090871,0.332748392399803,0.272735582995372,0.366431407954284,0.311827534102107,0.40743946190021
"T.cells.gamma.delta",0.0503445931345046,0.11711004601549,0.035514277256888,0.0970309095479756,0.195506208913495,0.0284098109745962,0.102883241851476,0.15993738916212,0.22254496088358,0.157997562936731,0.123476527850541,0.134615647730687,0.12892620099981,0.128206401099077,0.0203312282777691,0.102341819177504,0.152891546119988,0.0748823980323561,0.0654559427636763,0.0516711989525684,0.0644540095072149,0.108235636522533,-0.0138459867230788,0.0867162559071419,0.0734187642099469,-0.00502312505196889,0.0967537491518804,0.0556873385296386,0.106277538783211,0.153906914088339,0.0787199227251896,0.212387953711988,0.109024281324288,0.194934809251768,0.146211158368843,-0.0320713685134266,0.0798589689924502,-0.0105403583605593,0.1580421850048,0.0536924240538235,0.129276842148463,0.0759114468942553,0.0523651655076324,0.00781569101090851,0.0413138605014517,0.175098211696471,0.135794063989264,0.149868755069669,-0.0294701369321534,0.0464027789754235,0.0830036710200742,0.0960828994969243,-0.0343223859323021,0.161442976095884,0.16366651334873,0.0812080770223538,0.0115318542713123,0.133035595052835,0.0647542126703183,0.136978367479737,0.0655538157463935,0.046681601246618,0.00442291306197802,0.10749537542974,0.0279047004288814,0.186049892648709,0.0908604883791521,0.0370565187845217,0.105593664411875,-0.00665660237565933,0.130539961175662,0.0696515776706593,0.00922735681901213,0.129990458500141,0.0777589658583521,0.075967306415026,0.080062387449319,0.0972754635393788,0.0861552815552481,0.131144523671979,0.150154949429494,0.194245537210896,0.0671224416579733,0.0488803889054932,0.178408068722543,0.164626739203209,0.141496457602527,0.136168665987919,0.0641479914500145,0.126482520566905,0.0510453134933072,0.0619143238355359,0.027425314392709,0.07623693677893,0.00738195793306635,0.0224028168745448,0.0655629128958575,0.0440738939992434,0.0460925547891225,0.0871978951157916
"NK.cells.resting",0.110375196846924,0.212372464670106,0.0810549407651588,0.288592956440897,0.233642671844266,0.18834423389434,0.165925545555869,0.187211163046051,0.136299250845183,0.138203089907764,0.194291865078056,0.164998902089038,0.170723208739868,0.246273463209218,0.0850048528620649,0.0971588977320671,0.176356121117732,0.052226993431805,0.280127859977334,0.185055563047154,0.280159344255452,0.260629037854925,0.138798531494894,0.264049222903262,0.219293641970364,0.300519159781897,0.219126050237779,0.286659166377598,0.150403605105315,0.132199144039699,0.186657621913078,0.189605733599383,0.101458969376578,0.213929335533045,0.0488396687400324,0.16892283451802,0.155574116871007,0.135929800024815,0.212124278542658,0.158105601269393,0.210694557816043,0.138425538857229,0.0836806459983382,0.0498674123478139,0.253418176877782,0.269507991616496,0.0955697207636732,0.120219584742876,0.16966201880473,0.185036028278537,0.257747269986129,0.141897949179555,0.124629602400825,0.139526083577361,0.23076956089255,0.216345070099687,0.244509107178203,0.214390906713988,0.218006169136668,0.145069913618377,0.23583367705617,0.184412781958268,0.207361443301198,0.149777636465589,0.145886952388523,0.237300293834183,0.166991526421142,0.108897036327559,0.188286276146848,0.158432045261106,0.231389421863326,0.156027790599224,0.21118193265792,0.180037167135895,0.198955259532229,0.168249833647914,0.194086133853589,0.168977026795568,0.229382383081267,0.0649155997120343,0.137264424038193,0.17437560720007,0.262859273918265,0.132348694557207,0.0798989603312998,0.207816435179713,0.10714593097132,0.234082811117954,0.24626255152991,0.117513001527038,0.120225765482522,0.161356451708118,0.175506427279426,0.138743033738849,0.255931792088258,0.26785425812433,0.188461200907224,0.133414728887324,0.0947434711325316,0.137514915496418
"NK.cells.activated",0.175534169361542,0.246731212387247,0.345925975321093,0.129476246053459,0.312191975012048,0.124944668200904,0.352947120630868,0.139144443625415,0.172261318509108,0.303429614119162,0.14036565253682,0.310593928847687,0.173786058867467,0.108730887904126,0.152707909112864,0.13179663234124,0.148534279219263,0.120561666903201,0.271440540490045,0.145204594194884,0.227981504031188,0.125501312963178,0.122918288439011,0.107134839788864,0.206386416546689,0.11626453626146,0.0758034655674303,0.133736357992513,0.116235188047643,0.249110189731414,0.117544406973052,0.113619730311769,0.170292969722701,0.0746406228673036,0.188771854554326,0.163265685332993,0.136395955348211,0.0365290685439408,0.0231611951268196,0.0680536622071775,0.115922017693196,0.231931055719915,0.189777514370085,0.198165656671307,0.326759771733598,0.210656481826212,0.112656034606103,0.0838159163493204,0.279316379210572,0.149419205052622,0.333496136050252,0.282430229358174,0.22899971339279,0.260094203980444,0.280353784117129,0.109212413186661,0.37109503213209,0.202809584441879,0.175327599422984,0.29417565109383,0.147231987424988,-0.0304802670252893,0.264453834620308,0.312101690376333,0.201001652821294,0.229693241488431,0.0461945163785964,0.224951340914693,0.230891133856042,0.315289724497105,0.202542736976698,0.31935212942079,0.212525234458942,0.197843495477091,0.235634523637467,0.22860468506791,0.207877387603126,0.174737762338344,0.240176366975954,0.300726486865652,0.159865182290064,0.0157663533461481,0.158226769018163,0.127823770564941,0.254764985446866,0.187381453318593,0.153565201694843,0.270096714080195,0.19150203296757,0.091489541746564,0.233911410564401,0.183785314955141,0.285281897663247,0.0261998982018233,0.099755686081755,0.136885497437729,0.11526747289322,0.293863053305836,0.259146382053647,0.269193754799604
"Monocytes",0.262442737396583,0.20814951778435,0.162050326550702,0.252407091944509,0.108779095332477,0.143453633216471,0.150231779764855,0.120682225117477,0.226441599772883,0.311878023167932,0.200427821405091,0.11662588614153,0.145587325112533,0.175231684011001,0.202271607163051,0.222264753446085,0.257601244739386,0.240345273252992,0.158937921011927,0.255217059573192,0.236345776134245,0.281851621616779,0.237628095015107,0.169784277688506,0.149537446590832,0.1285368987332,0.0144122856822857,0.176021759079686,0.24297586699711,0.0887857648825464,0.216236096503418,0.139526778688668,0.193133714467457,0.20205480595634,0.247919085139962,0.214571655211623,0.260349424525318,0.254289302697928,0.214643441818406,0.300490011301111,0.275313241549888,0.0913113564373214,0.252209503450545,0.264732034783869,0.200699739494846,0.21130457191363,0.121437731219273,0.090394859684249,0.183235441454341,0.166388085076653,0.289802841112985,0.107590665214216,0.248849591076718,0.188747589348097,0.230211117259077,0.261642909106159,0.0183055641187593,0.225601905933175,0.189812206450265,0.184132499620949,0.134535692917614,0.12193992070783,0.0679335001014539,0.206056127694522,0.184549665726545,0.0241700552816496,0.1602246540147,0.145104239533832,0.240709679375742,0.152659771199077,0.198891812926899,0.140699326969392,0.226822606495652,0.179195311498862,0.176495177371038,0.189394829736343,0.118365797361249,0.27981948207922,0.234421059363151,0.213037609024581,0.0942915976627574,0.217081735822073,0.26456542216754,0.176567050102108,0.140029141537845,0.253682357858999,0.212510436580774,0.224237220903012,-0.0282096661311102,0.183997343548704,0.196861435048458,0.110690325559001,0.041922343255793,0.055890831443385,0.115487176408705,0.0718326415706114,0.150099585665444,0.0696413651729494,0.230743454080648,0.110869959850461
